,date,location,IP address,component,interaction,duration,downtime
815,2021-06-08,"1138 Ward Key
South Nicholeville, PA 60155",51.158.168.7,sap shipping management system,invalid SAP unit code,39.54,0.0
816,2021-06-23,"1154 Betty Views
West Jorgeton, DC 87014",36.84.230.95,ai engine,training data error,12.08,21.48
817,2021-05-20,"9104 Haynes Highway
Dianeside, IL 36855",204.248.43.230,ios frontend,bounce,97.22,0.0
818,2021-05-22,"45884 Mason Motorway
North Paulshire, DC 31472",212.119.69.33,web frontend,bounce,25.05,11.55
819,2021-07-19,"21384 Martin Squares
Michaelland, OK 01421",112.153.134.98,mongodb database,throttling,59.24,46.36
820,2021-08-15,"98702 Charles Rue
Lake Karen, DC 19712",198.7.43.232,django controller,not authorised,25.1,20.4
821,2021-06-04,"2686 Jackson Way Apt. 716
Paulmouth, LA 42608",211.238.63.239,customer database,SQL injection threat,64.22,87.11
822,2021-05-22,"52947 Horton Roads Suite 951
North Tamara, NV 12270",211.7.223.173,android frontend,type,33.31,0.8300000000000001
823,2021-07-18,"17860 Paul Circles Suite 150
Davidmouth, MD 18127",212.120.198.46,customer database,timeout,4.6,0.26
824,2021-07-11,"2746 Sandoval Dale
New Meghan, CT 45082",153.27.27.143,customer database,SQL injection threat,15.510000000000002,1.9
825,2021-07-22,"829 Autumn Course
Port Barrystad, IL 79180",120.101.80.214,sap shipping management system,server error,90.72,54.28
826,2021-07-16,"14813 Martinez Gateway
West Nicholasview, WA 20903",90.52.232.33,customer database,cannot find customer,27.87,0.0
827,2021-08-08,"73054 Farmer Falls
Barajasland, MT 33276",78.110.250.102,ai engine,bias detected in training data,82.74,56.07
828,2021-05-20,"59139 Nicholas Stravenue
North Kristina, GA 50468",152.239.244.44,django controller,HTTP 401 response,76.6,0.0
829,2021-06-29,"60075 Garcia Viaduct
East Edwinburgh, TX 74666",1.100.85.202,customer database,update data error,35.03,83.16
830,2021-08-01,"1423 Gordon Coves
Kimberlyside, AK 74315",17.241.220.150,customer database,other,91.55,4.32
831,2021-08-11,"6688 Golden Expressway
Douglasmouth, PA 20314",43.150.252.205,mongodb database,throttling,97.2,51.05
832,2021-07-30,"72819 Dana Summit Suite 611
Mccartyville, MI 94817",120.75.0.214,mongodb database,entry does not exist,73.76,4.05
833,2021-07-10,"577 Ronald Lights
East Robertborough, FL 87399",196.36.33.109,ai engine,parameter values invalid,25.67,15.57
834,2021-08-05,"85114 Carrie Trail Suite 882
Deannamouth, SC 91174",97.50.89.55,sap shipping management system,unknown shipping code,30.36,90.45
835,2021-06-20,"33563 Galloway Coves
Smithstad, RI 09989",163.136.156.120,sap shipping management system,server error,24.86,0.0
836,2021-06-05,"069 Claudia Mountain
Powellhaven, TX 93588",129.241.88.107,django controller,HTTP 400 response,87.74,64.5
837,2021-07-01,"62294 Scott Knoll Apt. 239
New Amanda, TX 06660",186.82.22.53,ios frontend,type,40.55,13.69
838,2021-08-11,"565 Brent Gateway
Lihaven, WI 73897",29.52.41.120,ai engine,error loading model,13.72,17.68
839,2021-05-31,"40034 Nelson Isle Apt. 370
Gardnerton, IN 15024",184.145.168.48,android frontend,type,72.59,0.0
840,2021-07-24,"6194 Stephanie Glen Apt. 892
New Denise, RI 83182",2.134.73.163,ios frontend,new route,65.22,0.0
841,2021-06-03,"687 Timothy Mount
Riceburgh, IN 89205",116.88.151.175,android frontend,scroll,1.19,0.0
842,2021-05-30,"05418 Johnson Manors Apt. 143
West Melissa, ME 74676",36.73.26.164,ai engine,parameter values invalid,66.57,74.23
843,2021-05-30,"3348 Gibbs Glens
Port Staceychester, NV 72879",185.121.184.169,web frontend,bounce,79.46,0.0
844,2021-07-25,"325 Vanessa Course
Fletcherview, SD 09027",178.15.208.79,ai engine,parameter values invalid,80.69,30.38
845,2021-06-24,"Unit 9464 Box 3029
DPO AA 61924",197.236.7.16,ios frontend,type,4.81,0.0
846,2021-07-13,"PSC 3121, Box 3363
APO AA 06911",155.0.247.213,android frontend,type,26.74,15.18
847,2021-08-05,"33737 Gutierrez Isle
Lake Robertside, IN 01298",160.158.188.29,shipping database,SQL injection threat,9.45,2.69
848,2021-06-29,"451 Brian Cliff
Andersenport, HI 23060",153.90.199.93,ios frontend,dropdown click,72.33,16.5
849,2021-06-07,"811 Young Cliffs
West Katie, OH 58467",131.151.118.44,ai engine,training data error,18.23,25.28
850,2021-05-27,"58855 Cox Cape Apt. 939
Eddieport, MO 79053",169.76.146.168,shipping database,SQL injection threat,30.14,43.33
851,2021-07-19,"45980 Taylor Bypass Suite 468
Nicholasport, HI 47514",56.3.194.190,ios frontend,scroll,27.8,0.0
852,2021-06-07,"228 Daniel Spur
North Daniel, TX 71070",84.130.131.217,ios frontend,dropdown click,94.08,0.0
853,2021-08-01,"062 Wong Plains Apt. 358
West Michaelstad, NE 98822",182.147.13.206,sap shipping management system,connection timeout,7.81,2.63
854,2021-08-06,"94473 Jackson Causeway
Jacobtown, CO 95029",175.98.122.220,customer database,potential SSH threat,11.43,1.81
855,2021-07-27,"720 Joe Road
Stevenside, SD 57094",106.37.236.54,mongodb database,entry does not exist,50.52,8.07
856,2021-05-28,"0631 Harris Mission
East Roberttown, KS 33067",222.44.45.133,shipping database,invalid key,62.98,52.3
857,2021-06-26,"4007 Daniel Turnpike Suite 902
Lake Isaiahport, OR 81419",210.35.209.240,sap shipping management system,invalid SAP unit code,32.82,0.0
858,2021-06-22,"675 Terri Mills Apt. 505
East Michaelberg, FL 53767",219.79.91.48,web frontend,dropdown click,81.29,36.95
859,2021-08-19,"PSC 3393, Box 6797
APO AA 02368",208.183.129.158,android frontend,type,20.99,0.0
860,2021-05-28,"04808 Stacey Locks Apt. 824
Ericaville, WV 37869",188.57.112.169,customer database,other,63.97,0.0
861,2021-06-20,"95856 Salinas Rapid
Charlesfurt, TX 10679",168.214.21.79,django controller,HTTP 400 response,39.77,0.0
862,2021-07-05,"1486 Lee Dam
Hineschester, WA 33778",219.239.32.142,django controller,HTTP 404 response,54.13,14.74
863,2021-06-25,"650 Virginia Bypass
Port Matthewshire, HI 99553",177.34.191.188,web frontend,dropdown click,18.41,16.22
864,2021-07-02,"1986 Fox Ridge
Port Daniel, MN 47017",223.32.119.32,ios frontend,refresh,29.64,0.0
865,2021-05-24,"34221 Rojas Knolls Apt. 199
Escobarside, HI 94521",65.0.96.49,web frontend,refresh,28.31,0.0
866,2021-08-05,"PSC 3493, Box 7045
APO AE 40301",180.166.13.185,sap shipping management system,connection timeout,56.8,0.0
867,2021-06-05,"234 Eric Rest Apt. 960
Lake Jessicaland, SC 42511",40.41.184.208,customer database,potential SSH threat,65.99,4.93
868,2021-08-18,"404 Christopher Springs Apt. 326
Danielstad, MA 87187",204.126.98.203,django controller,HTTP 500 response,52.98,0.0
869,2021-07-23,"41365 Karen Extensions Suite 343
Jimmymouth, DE 02919",217.171.19.143,django controller,HTTP 404 response,48.99,0.0
870,2021-07-12,"635 Colleen Fall
Andrewburgh, NY 77640",141.118.44.72,django controller,HTTP 500 response,27.57,0.0
871,2021-06-03,"501 John Ways
Martinton, AZ 77333",213.202.209.28,web frontend,click,83.71,19.19
872,2021-06-14,"038 Donna Pine
Popemouth, MN 92671",193.223.57.66,sap shipping management system,server error,81.94,0.0
873,2021-08-05,"95048 Susan Mountain
East Williehaven, MD 54006",195.63.235.66,web frontend,scroll,86.64,0.0
874,2021-08-08,"235 Robert Plains Suite 077
East Bonnie, GA 79647",135.62.238.132,django controller,HTTP 500 response,16.56,15.52
875,2021-07-01,"361 Jonathan Mission Apt. 903
Spencermouth, WI 11884",69.248.18.248,shipping database,SQL injection threat,40.78,80.27
876,2021-07-14,"8778 Stacy Roads
Christinachester, KY 88917",195.166.141.31,customer database,update data error,93.68,0.0
877,2021-07-04,"1809 Butler Fields Apt. 704
Robinsonhaven, AL 57566",155.82.205.226,ai engine,error loading model,75.35,40.14
878,2021-06-02,"5664 Kyle Camp
Thompsonborough, MI 10799",90.196.50.191,android frontend,refresh,1.44,0.0
879,2021-08-10,"19158 Jennifer Lodge Apt. 618
South Adam, AR 94532",50.23.29.195,web frontend,type,4.51,0.0
880,2021-07-01,"80878 Diane Isle Apt. 241
Lake Evan, NM 27335",28.55.26.151,android frontend,click,46.41,0.0
881,2021-06-02,"2662 Kemp Path
South Jayfurt, KS 63284",44.156.175.87,django controller,HTTP 401 response,97.52,0.0
882,2021-06-14,"330 Warren Road Apt. 949
South Katherine, OH 95230",97.92.24.168,web frontend,dropdown click,55.22,0.0
883,2021-08-10,"394 Dyer Shoal
Kaitlynchester, WI 77538",193.70.224.14,web frontend,type,29.91,0.0
884,2021-06-10,"845 Sarah Inlet Suite 642
Port Brianhaven, WI 16508",190.102.124.30,mongodb database,server error,65.61,31.72
885,2021-06-25,"Unit 8850 Box 4550
DPO AA 32885",194.24.119.27,web frontend,dropdown click,62.2,17.07
886,2021-07-28,"6900 Darrell Land Suite 563
Catherineport, OR 11673",25.238.104.124,ios frontend,scroll,63.81,0.0
887,2021-07-19,"62093 Romero Burgs
West Carmen, TX 26990",166.67.0.34,ios frontend,refresh,12.5,26.76
888,2021-08-02,"022 Oliver Village Apt. 260
Diazbury, MT 83767",189.63.86.108,ai engine,training data error,49.91,33.83
889,2021-05-22,"52170 Zhang Loop Suite 634
Millerview, NV 83254",93.214.207.170,sap shipping management system,invalid SAP unit code,59.06,76.39
890,2021-06-27,"6465 Young Mill
Port Amandafurt, GA 64582",135.135.147.86,android frontend,bounce,37.51,66.02
891,2021-08-01,"2773 Sharon Keys
Port Katherine, SC 48912",166.134.160.201,ai engine,bias detected in training data,17.25,10.99
892,2021-08-11,"5683 Christina Spur Suite 993
New Morganfurt, AK 66680",203.105.19.105,customer database,SQL injection threat,61.06,8.4
893,2021-07-26,"PSC 2040, Box 0393
APO AE 77488",157.202.38.10,mongodb database,throttling,23.73,2.25
894,2021-08-04,"1230 Deborah Drive Apt. 845
Crawfordhaven, IA 73811",142.231.66.70,customer database,potential SSH threat,20.03,3.4000000000000004
895,2021-08-11,"01812 Danielle Courts Apt. 200
Aprilside, MT 17479",145.35.147.131,android frontend,type,7.26,1.91
896,2021-07-15,"64588 Clark Trail
Chelseatown, WY 59273",139.241.178.40,shipping database,request timeout,1.66,0.0
897,2021-08-18,"44071 Wilson Burg
Smithfort, RI 24519",35.155.253.193,ai engine,parameter values invalid,44.99,25.35
898,2021-08-18,"75197 Christopher Knolls Suite 675
New Christopherfort, AR 33974",117.161.42.170,web frontend,new route,27.61,21.65
899,2021-08-02,"807 Lawrence Roads
Hatfieldville, MN 42547",161.65.185.39,mongodb database,SQL injection threat,1.99,0.0
900,2021-06-06,"0237 Shelley Union
Lake Danielleport, MI 89301",183.226.185.50,shipping database,throttling,34.79,0.1999999999999999
901,2021-05-20,"097 Franklin Avenue
Robinfort, NM 31641",73.6.55.148,sap shipping management system,server error,59.04,80.02
902,2021-07-21,"24152 Reed Junction
East Christopher, TX 65150",168.77.17.136,android frontend,refresh,64.14,13.28
903,2021-07-08,"9534 Newman Turnpike
East Robert, MI 31039",167.119.230.208,web frontend,bounce,10.48,7.890000000000001
904,2021-07-12,"10722 Cohen Field Apt. 972
New Jean, OK 73005",144.232.239.60,ai engine,training data error,30.08,82.8
905,2021-08-05,"531 Mckee Common
Morrisport, NM 24880",79.25.221.66,sap shipping management system,invalid SAP unit code,56.48,2.86
906,2021-08-02,"77602 Greene Fork Suite 219
Davidview, ID 54297",218.77.201.125,shipping database,invalid key,61.58,67.05
907,2021-06-05,"146 Johnson Alley Suite 894
New Carlos, MD 78799",209.209.166.119,android frontend,dropdown click,62.95,0.0
908,2021-06-27,"89876 Barry Crest Apt. 529
North Sarah, AZ 02607",196.220.85.83,mongodb database,SQL injection threat,19.15,7.300000000000001
909,2021-05-27,"32881 Marquez Grove Apt. 129
Shawnport, NC 80591",189.64.184.152,web frontend,bounce,8.96,0.0
910,2021-07-06,"0290 Collins Rapids Suite 504
Tannershire, SD 96266",149.115.31.158,sap shipping management system,server error,5.39,2.26
911,2021-07-19,"8459 Powell Village
North Michael, RI 60532",210.114.59.140,ios frontend,scroll,44.38,17.01
912,2021-08-11,"4330 Jones Falls
North Michael, WY 66786",54.135.132.230,web frontend,new route,74.12,0.0
913,2021-06-24,"616 Smith Stream
Rachelmouth, NM 41562",197.29.163.87,django controller,HTTP 404 response,20.57,5.86
914,2021-06-24,"41587 Stout Cove
Ryanburgh, OR 76626",157.192.15.151,shipping database,SQL injection threat,39.85,7.58
915,2021-07-14,"8807 Trujillo Route Apt. 704
Matthewborough, WV 42219",215.117.8.70,customer database,update data error,92.44,31.82
916,2021-05-23,"4576 Howard Inlet
West Johnmouth, NJ 26885",21.65.62.107,ai engine,bias detected in training data,33.43,79.41
917,2021-06-19,"2785 Luis Center
Robertmouth, AR 02726",192.162.241.136,android frontend,bounce,14.95,0.0
918,2021-07-14,"9001 Kimberly Gateway Suite 248
Jessicaside, WV 56371",93.41.109.47,customer database,potential SSH threat,37.62,89.69
919,2021-07-16,"964 Hall Views Suite 207
Port Tara, MI 71247",111.38.20.30,web frontend,dormant,63.06999999999999,60.97
920,2021-05-23,"450 Barajas Highway Apt. 702
Davisview, ND 25891",195.190.225.137,android frontend,type,66.4,40.29
921,2021-08-03,"456 Carly Brook
Mccoyfort, PA 17615",207.197.225.33,sap shipping management system,unknown shipping code,23.72,24.37
922,2021-07-21,"419 Julia Ports Apt. 411
South Lindseyfort, NM 03763",172.79.68.242,web frontend,click,59.2,59.66
923,2021-08-09,"67062 Joseph Flat
Port James, IA 13808",187.169.114.209,web frontend,new route,39.8,0.0
924,2021-06-07,"94869 Megan Rue
West Todd, NY 45020",186.171.175.225,django controller,HTTP 401 response,72.47,0.5700000000000001
925,2021-06-19,"024 Danny Motorway Suite 916
Jayfort, MI 13592",2.100.211.239,ios frontend,type,92.22,0.0
926,2021-05-22,"6822 Key Fields Apt. 908
Port Sarahstad, NJ 48019",193.126.227.145,ios frontend,scroll,89.04,0.0
927,2021-05-30,"USNV Moore
FPO AE 36727",222.255.194.243,ai engine,training data error,28.25,9.79
928,2021-08-19,"0973 Alexander Squares
West Michaelview, IL 32207",139.89.237.177,ios frontend,dropdown click,4.1,0.25
929,2021-07-24,"330 Watson Locks Apt. 940
Fieldsside, MI 31185",8.186.38.38,mongodb database,server error,31.17,94.71
930,2021-06-08,"147 White Trail Apt. 461
South Cristian, GA 46845",170.247.111.84,django controller,HTTP 500 response,78.6,0.0
931,2021-06-21,"469 Edgar Flats Suite 063
Petermouth, SD 04223",195.110.193.120,web frontend,dropdown click,68.57,0.0
932,2021-06-04,"156 Myers Green
Christopherland, FL 70749",61.70.157.110,shipping database,SQL injection threat,49.39,49.46
933,2021-06-27,"Unit 4437 Box 0459
DPO AE 44313",180.93.7.111,web frontend,click,50.69,0.0
934,2021-06-19,"891 Angela Course
West Elizabethstad, OR 11823",206.191.32.217,ios frontend,type,79.43,0.0
935,2021-05-31,"585 Kline Point
Lake Dianefort, TX 45929",68.50.4.95,customer database,potential SSH threat,19.54,13.01
936,2021-07-05,"USS Jimenez
FPO AP 62640",82.74.22.227,shipping database,SQL injection threat,74.93,53.78
937,2021-07-27,"7773 George Brook Suite 027
Heatherview, GA 06491",95.80.115.75,django controller,not authorised,53.12,0.0
938,2021-07-11,"79845 Gabriella Streets Suite 386
Lake Gary, CT 21514",144.150.199.0,ios frontend,refresh,19.62,0.0
939,2021-06-21,"USS Estrada
FPO AA 31604",100.24.15.39,mongodb database,throttling,44.31,18.68
940,2021-07-22,"34753 Kim Turnpike Apt. 615
West Johnhaven, CA 10338",195.23.243.50,shipping database,potential SSH threat,16.42,19.46
941,2021-06-12,"Unit 1953 Box 6392
DPO AP 68735",132.18.144.35,mongodb database,SQL injection threat,13.98,7.970000000000001
942,2021-07-23,"3642 Stephanie Underpass
Port Raymond, WA 32336",63.64.127.155,django controller,not authorised,25.19,0.0
943,2021-07-03,"682 Arias Highway
Kimhaven, GA 85998",58.85.67.214,web frontend,dropdown click,11.74,16.45
944,2021-06-06,"492 Sanchez Vista
North Sethbury, SD 98926",163.107.22.210,ai engine,training data error,5.07,3.35
945,2021-07-05,"0617 Richard Lane Apt. 549
Lake Jennifer, KY 60467",165.1.104.136,ai engine,bias detected in training data,59.46,10.71
946,2021-07-31,"27072 Morris Burgs Suite 411
East Paulaville, NE 86481",104.184.44.92,customer database,other,77.08,41.39
947,2021-07-12,"USCGC Pineda
FPO AP 53091",197.213.79.214,shipping database,invalid key,70.03,6.5
948,2021-05-25,"6202 Lisa Manor
Robinfort, CA 76908",208.130.16.34,ios frontend,bounce,30.36,24.07
949,2021-08-14,"851 Eric Road
North Justinmouth, SD 79343",152.188.167.128,ios frontend,dormant,8.32,0.0
950,2021-07-10,"60531 Tiffany Fort
South Rickybury, SC 67281",120.104.24.165,ios frontend,dropdown click,95.4,71.3
951,2021-07-19,"923 Cynthia Hills Apt. 748
New Sherry, MO 08849",206.255.122.80,android frontend,dormant,82.79,5.45
952,2021-05-22,"4570 Rodriguez Points Suite 997
South Michael, NM 52056",27.113.68.210,sap shipping management system,connection timeout,83.15,0.0
953,2021-07-28,"4186 Rhonda Heights
Lake Monicaland, NV 13046",130.43.181.194,shipping database,SQL injection threat,39.1,51.05
954,2021-07-28,"32955 Andrews Vista Suite 540
Mirandastad, MS 11928",138.163.15.84,ios frontend,bounce,51.97,0.0
955,2021-07-07,"1137 Joel Wall Suite 804
Harryfurt, OR 42705",213.78.144.107,sap shipping management system,connection timeout,56.62,0.0
956,2021-07-22,"2179 Brown Villages Suite 999
Melissaview, IN 24958",93.66.173.231,ios frontend,dropdown click,89.04,0.0
957,2021-06-26,"10016 Cindy Plains Suite 622
Gregoryfort, NY 92589",160.35.30.85,ai engine,parameter values invalid,19.53,26.91
958,2021-08-04,"PSC 2602, Box 8942
APO AP 67471",106.89.7.30,android frontend,new route,75.75,75.75
959,2021-06-21,"10002 Bernard Skyway
Catherineview, ND 38784",19.84.36.70,ios frontend,click,10.26,0.0
960,2021-07-18,"Unit 3898 Box 9034
DPO AA 28476",21.116.76.239,ios frontend,dropdown click,29.43,0.0
961,2021-07-26,"01412 Miranda Via Suite 223
North Michael, MD 46722",206.210.70.94,web frontend,new route,58.84,0.0
962,2021-07-04,"795 Mcmillan Estates Suite 688
Port Sheilabury, SD 20627",193.119.53.28,customer database,cannot find customer,21.6,0.0
963,2021-08-14,"45847 Theresa Islands
Allenstad, NY 13612",167.58.215.145,customer database,other,18.07,15.1
964,2021-08-13,"391 Adam Junctions Suite 492
Lake Roy, AZ 10963",151.223.117.136,sap shipping management system,connection timeout,48.55,28.9
965,2021-07-16,"7634 Emily Curve Suite 213
Johnsonmouth, ND 73418",187.31.118.159,shipping database,invalid key,64.57,96.54
966,2021-06-04,"70221 Albert Motorway Apt. 682
East Katherineshire, WV 67289",210.78.175.85,android frontend,refresh,58.7,46.39
967,2021-07-29,"655 Luis Throughway
South Amber, ND 24851",209.29.126.25,mongodb database,other,57.54,40.03
968,2021-08-10,"18690 Ramirez Via
Lake Maryfort, AZ 59723",154.176.135.89,ios frontend,refresh,67.23,68.37
969,2021-08-18,"7919 Erickson Fort Suite 024
North Jamesmouth, VA 74887",216.224.160.175,django controller,HTTP 400 response,15.420000000000002,0.0
970,2021-06-09,"39692 Dawn Expressway Apt. 871
North Carolburgh, NE 60457",146.162.237.250,sap shipping management system,unknown shipping code,30.38,30.58
971,2021-08-14,"9162 Nicole Pine Suite 258
New Paul, HI 71912",200.74.215.251,web frontend,dormant,86.06,0.0
972,2021-05-25,"265 Peterson Shore Apt. 485
Brettland, MA 10991",9.22.136.157,mongodb database,server error,93.73,66.58
973,2021-07-31,"86707 Anita Parkway
Morrisonland, WV 20924",194.215.212.177,customer database,potential SSH threat,41.26,0.0
974,2021-07-05,"5022 Liu Isle
Lindseyport, CO 81109",42.107.213.65,customer database,cannot find customer,24.04,0.0
975,2021-08-14,"8388 Davis Mews Apt. 442
Lake Teresa, MO 64200",211.57.222.31,ai engine,bias detected in training data,57.28,41.71
976,2021-08-03,"91503 Fitzgerald Points
New Raymond, MI 07777",219.58.236.235,mongodb database,SQL injection threat,82.55,90.15
977,2021-06-05,"93916 Macias Pike Apt. 229
New Dwayneside, SD 23128",192.176.246.72,customer database,potential SSH threat,88.88,0.0
978,2021-06-28,"848 Morales Isle
Michellechester, RI 78802",201.188.136.32,sap shipping management system,connection timeout,70.29,0.0
979,2021-06-01,"196 Tony Rapids Apt. 949
Port Brookehaven, HI 47168",60.231.222.216,android frontend,refresh,83.41,0.0
980,2021-06-01,"0773 Ayers Squares
South Paulafurt, ME 70164",176.223.172.194,django controller,HTTP 500 response,70.75,19.67
981,2021-07-08,"81336 Carlson Court
New Carlos, WI 30710",197.39.198.185,ios frontend,dropdown click,27.1,21.14
982,2021-05-26,"301 David Turnpike Suite 710
Kellyview, MN 45292",144.141.218.125,ios frontend,click,69.95,6.01
983,2021-06-10,"157 Anderson Island Suite 152
Marisaton, FL 59443",2.57.94.174,sap shipping management system,connection timeout,20.25,3.4000000000000004
984,2021-07-24,"263 Clark Land Apt. 656
North Renee, AK 71867",202.190.203.142,sap shipping management system,unknown shipping code,2.72,0.0
985,2021-07-15,"75197 Angela Burg
Ramseyshire, PA 94261",189.143.162.134,web frontend,refresh,97.11,0.0
986,2021-06-21,"4353 Thornton Groves Apt. 646
Carlamouth, ME 89592",125.73.207.5,ios frontend,new route,96.17,0.0
987,2021-07-29,"034 Evans Cape
Sarahhaven, MI 62376",204.192.54.126,shipping database,request timeout,9.96,1.65
988,2021-06-09,"9825 Ashley Turnpike Apt. 779
South Calvin, WA 42353",31.188.53.164,mongodb database,SQL injection threat,1.1,0.0
989,2021-07-10,"111 Brenda Stravenue Suite 085
East Jeffreyberg, VT 47019",207.243.203.243,android frontend,dropdown click,55.21,0.0
990,2021-08-04,"4403 Aaron Canyon Apt. 894
Adamton, NY 69984",211.21.84.38,web frontend,dormant,84.62,0.0
991,2021-06-02,"64474 Ball Glens Suite 268
Taylorfort, CT 45275",99.220.194.97,shipping database,invalid key,33.85,51.72
992,2021-05-29,"46483 Silva Fort
Mannland, AK 22069",211.207.185.213,android frontend,dropdown click,29.48,0.0
993,2021-06-24,"18062 Keller Burg Suite 569
North Jessicamouth, KS 52435",147.99.8.14,web frontend,new route,5.12,1.97
994,2021-06-06,"66518 Shane Manors
Lake Wanda, FL 66380",144.111.195.76,sap shipping management system,connection timeout,55.55,0.0
995,2021-08-17,"24564 Jenkins Streets
Port Nicholasfort, VA 43472",129.105.32.194,mongodb database,entry does not exist,36.24,92.09
996,2021-08-03,"14903 John Parkways Apt. 205
Davidsonberg, FL 58231",136.103.44.82,android frontend,click,43.24,0.0
997,2021-08-01,"4869 Jones Forge
Port Christopherbury, MO 11356",169.70.64.251,customer database,potential SSH threat,86.17,0.0
998,2021-08-19,"895 Kimberly Roads Apt. 548
Waynefort, PA 55817",58.157.46.185,android frontend,bounce,50.39,83.01
999,2021-06-30,"16863 Graves Meadows Suite 444
North Alexanderchester, CA 15733",169.24.24.49,shipping database,request timeout,81.0,80.23
1000,2021-07-03,"6583 Brenda Ports
New Craig, WA 80285",194.87.142.24,django controller,HTTP 401 response,76.43,66.01
1001,2021-08-04,"16548 George Mountains Suite 211
Port Edwardfort, ME 68940",145.61.216.168,web frontend,bounce,45.15,49.29
1002,2021-08-06,"13697 Patrick Bridge Apt. 866
Jasonstad, PA 06947",170.202.175.50,android frontend,refresh,29.67,0.0
1003,2021-07-02,"6090 Schmidt Mill
Lauratown, NH 69095",1.181.216.24,sap shipping management system,unknown shipping code,1.82,0.0
1004,2021-08-02,"4839 Sims Ford
North Mollyport, ME 93281",215.158.94.153,android frontend,new route,72.89,59.31
1005,2021-07-17,"6261 Hawkins Stream Suite 036
North Franciscofort, NH 24750",172.202.17.59,django controller,HTTP 400 response,89.33,37.57
1006,2021-07-27,"117 Lisa Lights Suite 240
Lisafurt, MI 36017",106.132.66.129,mongodb database,server error,37.86,5.13
1007,2021-08-16,"7152 Jackson Corner
Lawrenceton, MD 52906",30.76.249.85,ai engine,parameter values invalid,26.45,3.0
1008,2021-06-12,"PSC 1269, Box 1145
APO AA 01446",135.106.109.202,customer database,update data error,67.48,68.69
1009,2021-07-12,"475 Cheryl Center
Lake Roger, MN 13212",20.241.157.77,customer database,SQL injection threat,88.36,97.63
1010,2021-08-16,"PSC 3565, Box 9838
APO AP 47148",128.9.109.85,ai engine,error loading model,60.08,29.45
1011,2021-07-13,"6104 Thomas Flats
Herreraberg, SD 24561",61.62.91.240,mongodb database,entry does not exist,98.08,92.33
1012,2021-07-09,"92967 Lewis Underpass Apt. 648
South Kevinberg, WV 56178",194.104.142.252,mongodb database,other,86.03,34.61
1013,2021-05-20,"666 Oconnell Lake Apt. 256
North Henry, AZ 28729",212.205.248.120,mongodb database,SQL injection threat,57.32,87.45
1014,2021-07-11,"483 Emily Meadow Suite 342
Randyhaven, GA 21714",38.25.59.250,android frontend,dropdown click,39.98,0.0
1015,2021-06-27,"05739 Adams Brooks
Nicoleberg, NY 79222",194.69.112.224,mongodb database,server error,66.81,77.94
1016,2021-07-08,"37981 Lawson Vista Apt. 016
Gonzalezside, DE 42593",193.36.169.251,ai engine,error loading model,23.06,11.77
1017,2021-06-07,"65699 Ronald Center Apt. 359
Sharpberg, MS 40539",158.81.252.239,django controller,HTTP 401 response,21.37,0.0
1018,2021-08-12,"493 Danny Drive Suite 186
Parkermouth, UT 91553",205.88.171.50,mongodb database,server error,80.32,55.24
1019,2021-05-30,"45665 Walter Extension Suite 454
West Justin, AR 11562",160.251.244.7,web frontend,dropdown click,68.09,0.0
1020,2021-06-23,"1481 Jimenez Island Suite 845
Kingville, MT 74328",167.55.200.169,django controller,HTTP 404 response,13.98,22.04
1021,2021-06-07,"7001 Robin Hills
Delacruzmouth, NC 44544",131.78.81.46,web frontend,new route,40.25,28.73
1022,2021-08-13,"586 Amy Roads Apt. 401
Port Carol, WY 25218",188.18.110.159,sap shipping management system,server error,55.96,0.0
1023,2021-06-12,"3905 Huerta Branch
East Jacob, NE 19925",206.89.236.201,web frontend,scroll,84.45,26.72
1024,2021-07-15,"6960 Timothy Plaza Suite 208
North Lauren, ME 31397",128.164.56.227,web frontend,click,41.54,0.0
1025,2021-07-14,"62044 Jones Ferry
East Eric, VA 04058",112.16.176.207,sap shipping management system,connection timeout,5.92,2.23
1026,2021-07-16,"39825 Daniel Estate
South Lisamouth, AZ 97985",192.56.99.250,shipping database,throttling,61.21,70.77
1027,2021-05-26,"969 Colleen Shoal
Josephbury, TN 71917",193.152.148.27,customer database,other,27.74,24.67
1028,2021-06-29,"43473 Gregory Ferry
South Matthewchester, CT 80954",196.175.213.173,ai engine,error loading model,45.68,14.73
1029,2021-07-02,"Unit 8057 Box 3273
DPO AA 75147",216.166.53.243,android frontend,refresh,81.41,56.89
1030,2021-08-16,"79937 Patrick Islands Apt. 106
East Lori, IL 65978",203.95.161.65,web frontend,scroll,79.96,1.97
1031,2021-06-12,"Unit 2140 Box 0398
DPO AP 23570",137.174.59.233,customer database,timeout,76.05,0.0
1032,2021-08-17,"8194 Gina Field Apt. 736
Nancyfort, IL 40397",217.7.227.154,web frontend,new route,53.09,0.0
1033,2021-07-18,"PSC 6342, Box 8097
APO AE 60884",200.38.251.16,ai engine,parameter values invalid,8.48,2.51
1034,2021-08-15,"155 Reed Ridges Apt. 370
Ortegaside, MA 85287",130.44.127.182,customer database,SQL injection threat,86.88,5.24
1035,2021-05-26,"7310 Patrick Roads Apt. 465
Stevenbury, MA 71801",64.193.134.185,customer database,timeout,60.26,0.0
1036,2021-07-13,"2180 Bryan Plain Apt. 122
New Ashley, ID 74775",172.117.241.118,shipping database,potential SSH threat,29.7,12.68
